Business Date,MLB,CFB,WNBA,COMBO,Other,Total
2026-06-11,0.5,0.0,0.0,0.0,0.0,0.5
2026-06-12,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-13,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-14,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-15,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-16,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-18,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-20,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-21,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-22,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-23,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-24,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,188.28,0.0,0.0,0.0,0.0,188.28
2026-06-26,325.0,0.0,0.0,0.0,0.0,325.0
2026-06-27,1104.0,0.0,0.0,0.0,0.0,1104.0
2026-06-28,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,2326.0,0.0,0.0,0.0,0.0,2326.0
2026-06-30,1939.0,0.0,0.0,0.0,78.41,2017.41
2026-07-01,23535.0,0.0,0.0,0.0,437.40999999999997,23972.41
2026-07-02,46763.81,0.0,0.0,0.0,6596.63,53360.439999999995
2026-07-03,47745.5,0.0,0.0,0.0,18648.59,66394.09
2026-07-04,70252.0,0.0,0.0,0.0,35472.4,105724.4
2026-07-05,72350.0,0.0,0.0,0.0,46923.78,119273.78
2026-07-06,63440.0,0.0,0.0,0.0,380.26,63820.26
2026-07-07,80783.0,0.0,0.0,0.0,12291.5,93074.5
2026-07-08,130640.5,0.0,0.0,0.0,11957.960000000001,142598.46
2026-07-09,83689.5,0.0,0.0,0.0,17150.699999999997,100840.2
2026-07-10,71681.05,0.0,0.0,0.0,12838.27,84519.32
2026-07-11,73233.5,0.0,0.0,0.0,20562.33,93795.83
2026-07-12,74295.0,0.0,0.0,0.0,90809.19,165104.19
2026-07-13,0.0,0.0,0.0,0.0,4188.05,4188.05
2026-07-14,0.0,0.0,0.0,0.0,87925.27,87925.27
2026-07-15,0.0,0.0,0.0,0.0,93874.78,93874.78
2026-07-16,14296.0,0.0,0.0,0.0,149651.46,163947.46
2026-07-17,139447.73,0.0,0.0,0.0,75866.60999999999,215314.34
2026-07-18,116976.72,0.0,0.0,0.0,192511.27,309487.99
2026-07-19,103515.85,0.0,0.0,0.0,221665.33,325181.18
2026-07-20,140006.42,0.0,0.0,0.0,189820.68,329827.1
2026-07-21,112190.6,0.0,0.0,0.0,83810.40999999999,196001.01
2026-07-22,164889.0,0.0,0.0,0.0,70264.66,235153.66
2026-07-23,156470.5,0.0,0.0,0.0,73547.12000000001,230017.62
2026-07-24,233523.29,0.0,0.0,0.0,154296.12,387819.41000000003
2026-07-25,240552.0,0.0,0.0,0.0,200718.9,441270.9
2026-07-26,242138.0,0.0,0.0,0.0,200639.41999999998,442777.42
2026-07-27,291423.89,0.0,0.0,0.0,3172.16,294596.05
2026-07-28,233538.51,0.0,0.0,0.0,32527.649999999998,266066.16000000003
2026-07-29,273532.97,0.0,0.0,0.0,93923.41,367456.38
2026-07-30,191048.46,0.0,0.0,0.0,58887.670000000006,249936.13
2026-07-31,225969.92,0.0,0.0,0.0,61392.54,287362.46
2026-08-01,359179.57,0.0,0.0,0.0,155885.47,515065.04000000004
2026-08-02,255256.05,0.0,0.0,0.0,228139.15000000002,483395.2
2026-08-03,124909.71,0.0,0.0,0.0,44786.12,169695.83000000002
2026-08-04,183849.41,0.0,0.0,0.0,38764.18,222613.59
2026-08-05,219859.17,0.0,0.0,0.0,81555.95,301415.12
2026-08-06,244919.61,0.0,0.0,0.0,68352.77,313272.38
2026-08-07,203522.84,0.0,0.0,0.0,64325.96,267848.8
2026-08-08,256958.16,0.0,0.0,0.0,262172.66000000003,519130.82000000007
2026-08-09,259845.29,0.0,0.0,0.0,159146.72,418992.01
2026-08-10,116648.5,0.0,0.0,0.0,2194.7799999999997,118843.28
2026-08-11,136112.85,0.0,0.0,0.0,243158.90999999997,379271.76
2026-08-12,320400.63,0.0,0.0,0.0,164461.07,484861.7
2026-08-13,243205.54,0.0,0.0,0.0,170154.87,413360.41000000003
2026-08-14,249362.32,0.0,0.0,0.0,328487.39,577849.71
2026-08-15,505521.56,0.0,0.0,0.0,343141.02,848662.5800000001
2026-08-16,427890.29,0.0,0.0,0.0,290740.53,718630.8200000001
2026-08-17,659561.27,0.0,0.0,0.0,3533.88,663095.15
2026-08-18,197929.0,0.0,0.0,0.0,94288.83,292217.83
2026-08-19,457965.46,0.0,0.0,0.0,225453.55,683419.01
2026-08-20,285200.01,0.0,0.0,0.0,165467.66999999998,450667.68
2026-08-21,259142.94,0.0,0.0,0.0,288728.88999999996,547871.83
2026-08-22,255361.83,0.0,0.0,0.0,294426.21,549788.04
2026-08-23,271467.34,0.0,0.0,0.0,367320.69000000006,638788.03
2026-08-24,179489.58000000002,0.0,0.0,0.0,85566.86,265056.44
2026-08-25,215271.3,0.0,0.0,0.0,104256.68,319527.98
2026-08-26,544479.42,0.0,318231.66000000003,5454.84,263921.97000000003,1132087.8900000001
2026-08-27,2210027.3,0.0,294826.81,184362.0,400818.94999999995,3090035.0599999996
2026-08-28,4027876.15,62831.69,415399.8,600208.0,281375.12,5387690.76
2026-08-29,3637681.76,4540193.82,171804.54,525395.52,524821.9,9399897.540000001
2026-08-30,1003198.95,190058.95,18081.08,227868.0,277339.88,1716546.8599999999
2026-08-31,5995.0,148.29000000000002,0.0,0.0,2485.75,8629.04
